"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.8218","009504312","Monograph","Language material ; Text","Volume","GBA384588","","9781904733010","Goodacre, Selwyn H. (Selwyn Hugh)","1940-","person","","Goodacre, Selwyn H. (Selwyn Hugh), 1940- [person] ; Richards, Mark R. [person]","The translating of the Snark","","","","England","London","Aznet","2003","","10 pages, 20 cm","YC.2004.a.35","Carroll, Lewis, 1832-1898--Bibliography ; Carroll, Lewis, 1832-1898--Translations--Bibliography","Bibliography","English","",""
"016.8218","012257976","Monograph","Language material ; Text","Volume","GB7426904","","9780950372808","Goodacre, Selwyn H. (Selwyn Hugh)","1940-","person","","Goodacre, Selwyn H. (Selwyn Hugh), 1940- [person]","The listing of the Snark : a listing of editions and issues of Lewis Carroll's 'The hunting of the Snark' from its inspiration on July 18, 1874 to July 18, 1974","","","","England","Ashby Road, Woodville, Burton-on-Trent, Staffordshire ; Burton-on-Trent","","1974","","3, 10 pages, 22 cm","","Poetry in English--Carroll, Lewis--Hunting of the Snark--Editions--Bibliographies ; Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","Limited edition of 80 numbered and signed copies",""
"016.8238","008571555","Serial","Language material ; Text","Volume","GB9662289","","","","","","","Lewis Carroll Society [organisation]","Lewis Carroll review : the reviewing journal of the Lewis Carroll Society","Lewis Carroll review","","","England","Cromwell Road, Hertford, Hertfordshire SG13 7DP ; Hertford","Lewis Carroll Society","1996-","","volumes, 21 cm","ZC.9.a.4575","English fiction ; Carroll, Lewis, 1832-1898--Bibliography--Periodicals","Periodical","English","Description based on: Issue 2 (June 1996)",""
"016.828809","007396880","Monograph","Language material ; Text","Volume","GB8105166","","9780710800084","Guiliano, Edward","","person","","Guiliano, Edward [person]","Lewis Carroll : an annotated international bibliography 1960-77","","","","England","Brighton","Harvester","1981","","viii, 253 pages, 24 cm","X.950/6510","Carroll, Lewis, 1832-1898--Bibliography ; English literature--Carroll, Lewis--Bibliographies","","English","Includes index ; Originally published: Charlottesville : Published for the Bibliographic Society of the University of Virginia and the Lewis Carroll Society of North America by the University Press of Virginia, 1980",""
"016.828809","007402149","Monograph","Language material ; Text","Volume","GB9937837","","9780712346276 ; 9781884718878","Lovett, Charles C.","","person","","Lovett, Charles C. [person]","Lewis Carroll and the press : an annotated bibliography of Charles Dodgson's contributions to periodicals","","","","England","London ; New Castle, Delaware","British Library ; Oak Knoll","1999","","vi, 117 pages, illustrations, facsimiles, portraits, 24 cm","YC.1999.b.3542","Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","",""
"016.828809","007405678","Monograph","Language material ; Text","Volume","GB7919806","","9780712909068","Williams, Sidney Herbert","","person","","Crutch, Denis [person] ; Williams, Sidney Herbert [person] ; Green, Roger Lancelyn [person]","The Lewis Carroll handbook","","","","England","Folkestone","Dawson","1979","Revised edition, revised and augmented by Roger Lancelyn Green, now further revised by Denis Crutch","xix, 340 pages, 2 leaves of plates, 10 pages of plates, illustrations, facsimiles, 1 portrait, 23 cm","79/32587 ; X.981/21933","Carroll, Lewis, 1832-1898--Bibliography ; English literature--Carroll, Lewis--Bibliographies","","English","Includes index ; Previous edition: London : Dawsons, 1970. - 'Being a new version of 'A handbook of the literature of the revised C.L. Dodgson''",""
"016.828809","007418113","Monograph","Language material ; Text","Volume","","","9780816189250","Fordyce, Rachel","","person","","Fordyce, Rachel [person]","Lewis Carroll : a reference guide","","A Reference guide to literature","","United States of America","Boston, Massachusetts","G.K. Hall","1988","","xxxiv, 160 pages, 25 cm","2725.e.1818 ; 90/08825","Carroll, Lewis, 1832-1898--Bibliography","","English","Includes index",""
"016.828809","011593205","Monograph","Language material ; Text","Volume","GB7010386","","9780712904278","Williams, Sidney Herbert","","person","","Madan, Falconer, 1851-1935 [person] ; Williams, Sidney Herbert [person] ; Green, Roger Lancelyn [person]","The Lewis Carroll handbook : being a new version of 'A handbook of the literature of the Rev. C. L. Dodgson'","A handbook of the literature of the Rev. C. L. Dodgson","","","England","London","Dawsons","1970","Revised reprinted, now revised, augmented, and brought up to 1970 by Roger Lancelyn Green","xvi, 307 pages, 15 plates, illustrations, facsimiles, portraits, 23 cm","X.989/5616","Carroll, Lewis, 1832-1898--Bibliography","Bibliography","English","revised reprinted of revised edition: London: Oxford U.P, 1962",""
"016.828809","012667197","Monograph","Language material ; Text","Volume","","","9780813908625","Guiliano, Edward","","person","","University of Virginia, Bibliographical Society [organisation] ; Lewis Carroll Society of North America [organisation] ; Guiliano, Edward [person]","Lewis Carroll : an annotated international bibliography 1960-77","","","","United States of America","Charlottesville","Lewis Carroll Society of North America ; University Press ; Virginia for Bibliographical Society of the University of Virginia","1980","","viii, 253 pages, 24 cm","X.950/6500","Carroll, Lewis, 1832-1898--Bibliography ; English literature--Carroll, Lewis--Bibliographies","","English","",""
"016.828809","014537816","Monograph","Language material ; Text","Volume","GBA825988","","9780712350068 ; 9781584562122","","","","","Sewell, Byron W. [person] ; Imholtz, Clare [person]","An annotated international bibliography of Lewis Carroll's Sylvie and Bruno books","","","","England","London ; New Castle, Delaware","British Library ; Oak Knoll","2008","","l, 241 pages, 6 pages of plates, illustrations, 27 cm","YK.2009.b.6091 ; m09/.17816","Carroll, Lewis, 1832-1898--Biography","Biography","English","",""
"018.2","005661521","Monographic component part","Language material ; Text","Volume","","","9780930326050","","","","","Stern, Jeffrey [person]","Lewis Carroll's library : a facsimile edition of the catalogue of the auction sale following C.L. Dodgson's death in 1898, with facsimiles of three subsequent bookseller's catalogues offering books from Dodgson's library","","","","United States of America","Charlottesville, Virginia ; Silver Spring, Maryland","Lewis Carroll Society of North America ; University Press ; Virginia","1981","","","3055.475000","Private libraries--England--Catalogs ; Carroll, Lewis, 1832-1898--Library--Catalogs ; Carroll, Lewis, 1832-1898--Books and reading","","English","",""
"018.2","008126130","Monograph","Language material ; Text","Volume","","","9780930326050","","","","","Stern, Jeffrey [person]","Lewis Carroll's library : a facsimile edition of the catalogue of the auction sale following C.L. Dodgson's death in 1898, with facsimiles of three subsequent booksellers' catalogues offering books from Dodgson's library","","Carroll studies","number 5 [Carroll studies]","United States of America","Silver Spring, Maryland","Lewis Carroll Society of North America","1981","","xiv, 95 pages, 25 cm","2719.e.540","Private libraries--England--Catalogs ; Carroll, Lewis, 1832-1898--Library--Catalogs ; Fiction in English--Carroll, Lewis--1832-1898--Catalogues ; Carroll, Lewis, 1832-1898--Books and reading","","English","",""
"100","016648976","Monograph","Language material ; Text","Volume","GBB428070","","9780226105758","Scharfstein, Ben-Ami","1919-","person","author","Scharfstein, Ben-Ami, 1919-, author [person]","The nonsense of Kant and Lewis Carroll : unexpected essays on philosophy, art, life, and death","","","","United States of America","Chicago","University of Chicago Press","2014","","242 pages, illustrations, 24 cm","YC.2014.a.8447 ; m14/.11274","Machiavellianism (Psychology) ; Carroll, Lewis, 1832-1898 ; Art, Comparative ; Philosophy, Comparative ; Kant, Immanuel, 1724-1804","","English","",""
"121","014693227","Monograph","Language material ; Text","Volume","","","9788889130247 ; 9788889130292","Sini, Carlo","1933-","person","","Sini, Carlo, 1933- [person]","Il segreto di Alice e altri saggi","Segreto di Alice","Pragmata : l'economia deel vero","4 [Pragmata : l'economia deel vero]","Italy","Milano","Albo versorio","2006","","146 pages, 21 cm","YF.2009.a.9084","Carroll, Lewis, 1832-1898 ; Philosophy","","Italian","Collected writings, mostly already published in the periodicals Paradosso and Oltrecorrente",""
"160.924","010539186","Monograph","Language material ; Text","Volume","GB7815345","","","Wakeling, Edward","","person","","Wakeling, Edward [person]","The logic of Lewis Carroll : a study of Lewis Carroll's contribution to logic : his logical discoveries and his endeavours to teach the subject to children","","","","England","Bradgers Hill Road, Luton, Bedfordshire LU2 7EL ; Luton","","1978","","2, 41 pages, illustrations, portraits, 21 cm","D78/15952 ; X.519/35099","Logic--Theories of Carroll, Lewis ; Carroll, Lewis, 1832-1898--Contributions in logic","","English","'Based on an address to the Lewis Carroll Society, London on Friday 15th April, 1977'. - Limited edition of 300 copies signed and numbered by the author ; bibliography: p.38. _ Includes index",""
"203.50942574","015419008","Monograph","Language material ; Text","Volume","GBB113796","","9781874317067","Hughes, J. Trevor (John Trevor)","","person","","Hughes, J. Trevor (John Trevor) [person]","St Margaret's Well at Binsey near Oxford : the treacle well of Alice in Wonderland","Pharmaceutical historian","","","England","Oxford","Rimes House","2009","","12 pages, illustrations, 21 cm","YK.2011.a.5908","Saint Margaret's Well (Binsey, England) ; Carroll, Lewis, 1832-1898","","English","'Offprinted from: Pharmaceutical historian, volume 34, number 4, 2004, pages 54-58.' ; Title from cover",""
"294.3927","015362280","Monograph","Language material ; Text","Volume","GBA987331","","9781888375954","Silberberg, Daniel Doen","1947-","person","","Silberberg, Daniel Doen, 1947- [person] ; Carroll, Lewis, 1832-1898 [person]","Wonderland : the Zen of Alice","Alice's adventures in Wonderland","","","England ; United States of America","Berkeley, California ; Enfield","Parallax","2009","","xiv, 103 pages, 21 cm","YK.2010.a.8616","Zen Buddhism ; Alice, (Fictitious character from Carroll)","","English","",""
"328.3347","011994863","Monograph","Language material ; Text","Volume","GB9636176","","9780792396208","Black, Duncan","","person","","McMillan, Alistair [person] ; Dodgson, Charles Lutwidge, 1832-1898 [person] ; Monroe, Burt L. [person] ; Black, Duncan [person] ; McLean, Iain [person]","A mathematical approach to proportional representation : Duncan Black on Lewis Carroll","Principles of parliamentary representation","","","England","Boston ; London","Kluwer","1996","","xxxviii, 189 pages, illustrations, 24 cm","97/26870 ; YC.1996.b.3934","Proportional representation ; Dodgson, Charles Lutwidge, 1832-1898--Political and social views ; Social choice","","English","",""
"372.60440941","018407524","Monograph","Language material ; Text","Volume","GBB7B3047","","9781407176161","Burt, Sarah Ellen","","person","author","Burt, Sarah Ellen, author [person] ; Ridgard, Debbie, author [person]","Alice in Wonderland","","Read & respond","","England","London","Scholastic","2017","","1 volume, 30 cm","","Carroll, Lewis, 1832-1898 ; Literacy--Study and teaching (Elementary)--Great Britain","","English","",""
