"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'Alice' contado aos mais pequenos","Nursery 'Alice'. Portuguese","017471733","Monograph","Language material ; Still image ; Text","Volume","GBB5A5335","","9781782011187","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Puga, Rogério Miguel, translator [person] ; Thomson, E. Gertrude (Emily Gertrude), illustrator [person]","","","Ireland","Portlaoise County Laois","Evertype","2015","","xxix, 71 pages, colour illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)","Children's fiction","Portuguese","Translated from the English",""
"'Alice' on the stage","Alice's adventures in Wonderland : and, Through the looking-glass and what Alice found there ; Alice's adventures under ground ; Novels. Selections ; Through the looking glass, and what Alice found there ; Through the looking-glass","018530771","Monograph","Language material ; Text","Online resource","GBB7I3847","","9780141956732 ; 9781101487228","Carroll, Lewis","1832-1898","person","","Haughton, Hugh, 1948- [person] ; Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","Penguin classics","","England ; United States of America","London ; New York","Penguin","1998","","1 online resource (lxxx, 356 pages), illustrations","823.8","ELD.DS.197483","FICTION / Fantasy / General ; Fantasy fiction, English ; Alice (Fictitious character : Carroll)--Fiction ; Alice, (Fictitious character from Carroll)","Fiction","English","'Includes the manuscript version of Alice's adventures under ground and Caroll's 1887 essay ''Alice' on the stage''--Page 4 of cover ; 1st work reprinted of the 1898 edition; 2nd work reprinted of 1872 edition ; The 3rd work is the manuscript version, the 4th work is the author's 1887 essay",""
"'Cello acrostic","","015576761","Monograph","Notated music","Volume","","","9781423483526","Del Tredici, David","","person","","Kluksdahl, Scott [person] ; Carroll, Lewis, 1832-1898 [person] ; Del Tredici, David [person]","","","United States of America","Milwaukee, Wisconsin ; New York","Boosey & Hawkes ; Hal Leonard","2009","","4 pages of music, 31 cm","787.4","H06/.12042","Cello music","","","'Final Alice' is the fifth of six large works for soprano and orchestra based on Lewis Carroll's 'Alice in Wonderland' books; 'Cello Acrostic' is an arr. of 'Acrostic Song', the lullaby-like concluding aria from 'Final Alice' ; Duration: approximately 6:00 ; Program note in English",""
"'Endowment of the Greek Professorship.' [A paper, dated 22 November 1861, variously attributed to Charles L. Dodgson and Octavius Ogle.]","Appendix","002740146","Monograph","Language material ; Text","Volume","","","","University of Oxford","","organisation","","Dodgson, Charles Lutwidge, 1832-1898 [person] ; Ogle, Octavius [person] ; University of Oxford [organisation]","","","","Oxford","","1940","","","","8365.g.23","","","English","A photostatic reproduction",""
"'I am no sportsman' : the sporting worlds of Lewis Carroll and Charles Dodgson","","018790430","Monograph","Language material ; Text","Volume","GBB8L1066","","","Bale, John","","person","author","Bale, John, author [person]","","","England ; United Kingdom","","John Richard Bale","2017","","334 pages, black and white illustrations, 21 cm","823.8","YKL.2018.a.21888","Carroll, Lewis, 1832-1898 ; Sports in literature ; Sports--Great Britain--History","","English","",""
"'Lewis Carroll Diaries'","","032-001611719","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000035.0x000187","","Dodgson, Charles Lutwidge, alias 'Lewis Carroll', author and mathematician","1832-1898","person","creator","Dodgson family 19th century [former owner] ; Dodgson, Charles Lutwidge, alias 'Lewis Carroll', author and mathematician, 1832-1898 [creator]","","","","","","1855-1897","","9 volumes ; The nine volumes vary slightly in size and are approximately 183mm x 115mm. The volumes have green or brown board bindings and cloth spines","","Western Manuscripts. Add MS 54340-54348","","","English","Autograph diaries of the Rev. Charles Lutwidge Dodgson ('Lewis Carroll'), written in ink and pencil. The diaries are part of a series of thirteen, of which nos. 1, 3, 6 and 7 are missing. Each volume is numbered on the front cover. The volumes were foliated by the author","After Dodgson's death in 1898 the diaries remained the property of the Dodgson family ; Purchased from Beachcroft & Co. solicitors for the Dodgson family, 15th June 1968"
"'O tāfoga a 'Ālise i le Nu'o o Mea Ofoofogia","Alice's adventures in Wonderland. Samoan","016335451","Monograph","Language material ; Still image ; Text","Volume","GBB346199","","9781782010234","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Simanu-Klutz, Luafata, translator [person]","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","xiv, 132 pages, black and white illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English ; Samoan","",""
"'Tantalizing Alice' : approaches, concepts and case-studies in adaptations of a classic","","018012357","Monograph","Language material ; Text","Volume","","","9783868216660","","","","","Butt, Nadia, 1977-, editor [person] ; Helff, Sissy, editor [person]","ELCH, Studies in English Literary and Cultural History= ELK, Studien zur Englischen Literatur- und Kulturwissenschaft","Band 67 [ELCH, Studies in English Literary and Cultural History= ELK, Studien zur Englischen Literatur- und Kulturwissenschaft]","Germany","Trier","Wissenschaftlicher Verlag Trier","2016","","210 pages, illustrations (black and white and colour), 23 cm","","ZA.9.a.12020 (67)","Fantasy fiction, English--Adaptations--History and criticism ; Carroll, Lewis, 1832-1898 ; Children's stories, English--Adaptations--History and criticism ; Carroll, Lewis, 1832-1898--Adaptations--History and criticism ; Alice, (Fictitious character from Carroll)","","English","",""
"'Twinkle, twinkle, little bat' : poems and songs from Alice's adventures in Wonderland and Through the looking-glass","","010679138","Monograph","Language material ; Text","Volume","GB98X2593","","9780333733424","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","1998","","77 pages, colour illustrations, 15 cm","821.8","YK.1999.a.6876","Children's poetry, English--19th century","","English","",""
"(u04D8) лисШУ04д9Щн�������� �������ажайып елдег� басынан кешкендер�","Alice's adventures in Wonderland in Kazakh ; Alice's adventures in Wonderland. Kazakh ; Älïsäniñ ğajayıp eldegi basınan keşkenderibasynan keshkenderī ; Ălisănīn͡g ghazhaĭyp eldegī basynan keşkenderi basynan keshkenderī","018084092","Monograph","Language material ; Still image ; Text","Volume","GBB6E8046","","9781782011750","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Moldashova, Fatima, translator [person]","","","Ireland","Portlaoise","Evertype","2016","","viii, 120 pages, black and white illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Kazakh","Translated from the English",""
